Entity,Code,Literacy,Ratio
Afghanistan,AFG,38.168041,1.053325266
Albania,ALB,97.553902,1.036208921
Aruba,ABW,97.5242,0.901733284
Algeria,DZA,79.608398,1.021123104
Angola,AGO,71.164162,0.979389763
Argentina,ARG,98.089973,0.953036706
Armenia,ARM,99.768417,0.887960003
Azerbaijan,AZE,99.80526,0.999122786
United Arab Emirates,ARE,92.986366,2.220085937
Bahrain,BHR,95.717262,1.845439602
Bangladesh,BGD,61.493832,1.021391513
Belarus,BLR,99.722038,0.871708186
Belize,BLZ,82.776817,0.988191103
Benin,BEN,38.44714,0.998275206
Bhutan,BTN,63.906818,1.137010925
Bolivia,BOL,95.141922,1.006768407
Bosnia and Herzegovina,BIH,98.485764,0.959291728
Burundi,BDI,85.496094,0.98546554
Botswana,BWA,88.224411,0.941603829
Brazil,BRA,92.586807,0.965191092
Brunei,BRN,96.656532,1.07697663
Burkina Faso,BFA,37.7467,0.999833015
Bulgaria,BGR,98.38858,0.94365541
Cambodia,KHM,78.34594,0.954312094
Cameroon,CMR,74.98558,1.000926662
Cape Verde,CPV,88.465424,1.008180668
Chile,CHL,96.627548,0.973125048
China,CHN,96.357452,1.052334395
Colombia,COL,94.577057,0.964627513
Comoros,COM,78.13739,1.017879044
Congo,COG,79.311172,0.998677563
Costa Rica,CRI,97.647247,0.997906477
Cote d'Ivoire,CIV,43.26532,1.015861322
Croatia,HRV,99.272591,0.932131606
Cuba,CUB,99.710716,0.985672626
Cyprus,CYP,99.059776,0.999460489
Democratic Republic of Congo,COD,77.221672,0.997178378
Dominican Republic,DOM,92.465424,0.997004597
Ecuador,ECU,94.515472,1.00020999
Egypt,EGY,75.842621,1.021060365
Equatorial Guinea,GNQ,95.195663,1.254036583
Eritrea,ERI,73.845253,1.005067421
Estonia,EST,99.823509,0.903177209
Ethiopia,ETH,49.031521,1.001329837
Gabon,GAB,83.237877,1.035782978
Gambia,GMB,55.572762,0.983897872
Georgia,GEO,99.759621,0.909935639
Ghana,GHA,76.575897,1.028094349
Greece,GRC,95.29287,0.964056938
Guam,GUM,99.78904,1.016660939
Guatemala,GTM,79.074211,0.971767329
Guinea,GIN,30.47279,0.940455082
Guinea-Bissau,GNB,59.77285,0.959127851
Guyana,GUY,87.535316,1.013443695
Haiti,HTI,60.68935,0.974307468
Honduras,HND,88.424583,0.998882071
Hungary,HUN,99.380882,0.909041281
India,IND,72.225304,1.081468391
Indonesia,IDN,95.437683,1.013851075
Iran,IRN,87.172531,1.018855047
Iraq,IRQ,79.721764,1.025182842
Italy,ITA,99.015793,0.950091051
Spain,ESP,98.11451,0.966885241
Jamaica,JAM,88.499901,0.984592928
Jordan,JOR,98.014351,1.026392577
Kazakhstan,KAZ,99.787849,0.943652673
Kenya,KEN,78.023399,0.987707496
Kuwait,KWT,96.117706,1.585373006
Kyrgyzstan,KGZ,99.50132,0.978824285
Latvia,LVA,99.892693,0.856003992
Lebanon,LBN,94.051102,1.014927515
Lesotho,LSO,79.360931,0.975275514
Liberia,LBR,47.60014,1.011618768
Libya,LBY,91.38887,1.018540828
Lithuania,LTU,99.82328,0.861805421
Macao,MAC,96.2276,0.925891366
Madagascar,MDG,64.656303,0.995778424
Malawi,MWI,65.963829,0.973318885
Malaysia,MYS,94.636993,1.05606682
Maldives,MDV,99.321022,1.713094341
Mali,MLI,33.068871,1.004594596
Malta,MLT,94.066612,1.006598177
Mauritania,MRT,52.123562,1.009492159
Mauritius,MUS,90.616043,0.972383521
Mexico,MEX,94.545593,0.957726042
Moldova,MDA,99.244392,0.91785996
Mongolia,MNG,98.367638,0.969709627
Montenegro,MNE,98.719948,0.978362628
Morocco,MAR,71.710548,0.985973454
Mozambique,MOZ,58.836552,0.946484196
Myanmar,MMR,93.09005,0.930197693
Namibia,NAM,90.820503,0.941221884
New Caledonia,NCL,96.93782,1.009348987
Niger,NER,19.1026,1.011946397
Nigeria,NGA,59.568081,1.027810708
North Macedonia,MKD,97.843758,1.000578273
Sri Lanka,LKA,92.614166,0.919594281
Nicaragua,NIC,82.471848,0.971732161
Nepal,NPL,64.663643,0.854877958
Oman,OMN,93.971649,1.934647415
Pakistan,PAK,56.440311,1.060098423
Panama,PAN,95.038231,1.001637735
Peru,PER,94.374352,0.986967386
Philippines,PHL,96.618027,1.007854664
Papua New Guinea,PNG,63.433491,1.043515266
Poland,POL,99.787422,0.939810897
Puerto Rico,PRI,93.329422,0.899316762
North Korea,PRK,99.999237,0.957416233
Portugal,PRT,95.428108,0.898421897
Paraguay,PRY,95.53611,1.032455308
Palestine,PSE,96.668037,1.028765297
Qatar,QAT,97.757088,2.99328485
Romania,ROU,98.757027,0.946135916
Russia,RUS,99.719566,0.864123898
Rwanda,RWA,71.2435,0.96746824
Saudi Arabia,SAU,94.842369,1.371285427
Sudan,SDN,58.601318,0.998583615
Senegal,SEN,55.624851,0.954319342
Singapore,SGP,96.774628,1.098229593
Sierra Leone,SLE,48.4319,0.996913634
El Salvador,SLV,87.648216,0.879098321
Serbia,SRB,98.002892,0.959757093
Sao Tome and Principe,STP,91.747108,1.001738585
Suriname,SUR,95.538986,1.009678274
Slovenia,SVN,99.71476,0.99257597
Eswatini,SWZ,87.470192,0.970301839
Seychelles,SYC,95.321083,1.051393728
Syria,SYR,86.303932,1.000560464
Chad,TCD,40.018242,0.997007732
Togo,TGO,66.53759,0.990863143
Thailand,THA,93.983017,0.946645579
Tajikistan,TJK,99.781052,1.015016064
Turkmenistan,TKM,99.692932,0.969558432
Timor,TLS,64.066139,1.021341881
Tonga,TON,99.397858,1.002494701
Trinidad and Tobago,TTO,98.969582,0.974347359
Tunisia,TUN,81.054192,0.983954847
Turkey,TUR,95.688103,0.975063076
Tanzania,TZA,80.359497,0.999315404
Uganda,UGA,73.809837,0.973135009
Ukraine,UKR,99.764107,0.863689308
Uruguay,URY,98.442101,0.935528873
Uzbekistan,UZB,99.995193,0.995820663
Venezuela,VEN,95.399246,0.966814458
Vietnam,VNM,94.514267,0.997297279
Vanuatu,VUT,85.058678,1.02740044
Samoa,WSM,99.015007,1.073407991
Yemen,YEM,69.961952,1.014898504
South Africa,ZAF,94.597939,0.970053427
Zambia,ZMB,85.117264,0.9810302
Zimbabwe,ZWE,86.873482,0.91356483
